,brand_name,brand_id,item_name,item_id,item_type,tag,calories,total_fat,saturated_fat,cholesterol,carbs,sugar,protein,sodium,dietary_fiber,servings_per_container,serving_size_qty,serving_size_unit,serving_weight_grams,last_updated
293,McDonald's,513fbc1283aa2dc80c000053,"Fruitopia Strawberry Passion, Medium",c6408349bff9e85e93d7d4aa,drink,soda,220.0,0.0,0.0,0.0,61.0,59.0,0.0,70,0.0,,,,,2017-09-06
294,McDonald's,513fbc1283aa2dc80c000053,"Mist Twist, Small",c6408349c282ee7fa78defb6,drink,soda,150.0,0.0,0.0,0.0,39.0,39.0,0.0,30,0.0,,,,,2017-09-06
295,McDonald's,513fbc1283aa2dc80c000053,Double Chocolate Muffin,c6408349c2be5957d572427f,dessert,soda,450.0,15.0,3.5,0.0,74.0,42.0,8.0,600,4.0,,,,,2017-09-06
296,McDonald's,513fbc1283aa2dc80c000053,"Popcorn, Large",c6408349c3c41ea357fd1585,drink,soda,500.0,33.0,3.0,0.0,45.0,0.0,6.0,1250,3.0,,,,,2017-09-06
297,McDonald's,513fbc1283aa2dc80c000053,Fried Coconut (Haupia) Pie,c6408349c4add7c3a801b17a,dessert,none,270.0,17.0,6.0,0.0,29.0,7.0,2.0,220,1.0,,,,,2017-09-06
298,McDonald's,513fbc1283aa2dc80c000053,Triple Bacon Cheeseburger New York,c6408349c753224f5220190d,entree,none,590.0,32.0,15.0,125.0,37.0,8.0,38.0,1400,2.0,,,,,2017-09-06
299,McDonald's,513fbc1283aa2dc80c000053,"Southern Style Sweet Tea, Medium No Ice",c6408349c96324e30a827cac,drink,none,270.0,0.0,0.0,0.0,66.0,66.0,1.0,20,0.0,,,,,2017-09-06
300,McDonald's,513fbc1283aa2dc80c000053,"Cherry Coca-Cola, Extra Small No Ice",c6408349c972e03f7e970ded,drink,soda,160.0,0.0,0.0,0.0,42.0,42.0,0.0,40,0.0,,,,,2017-09-06
301,McDonald's,513fbc1283aa2dc80c000053,"Fruitopia Strawberry Passion, Extra Small",c6408349ca7db5f79b8837da,drink,soda,120.0,0.0,0.0,0.0,32.0,31.0,0.0,40,0.0,,,,,2017-09-06
302,McDonald's,513fbc1283aa2dc80c000053,"Orange Crush, Small No Ice",c6408349cdc5f9d7615c856d,drink,soda,60.0,0.0,0.0,0.0,17.0,16.0,0.0,20,0.0,,,,,2017-09-06
303,McDonald's,513fbc1283aa2dc80c000053,Pineapple Side,c6408349cdcb95e70a4c2240,side,none,60.0,0.0,0.0,0.0,15.0,11.0,1.0,0,2.0,,,,,2017-09-06
304,McDonald's,513fbc1283aa2dc80c000053,"FUZE Raspberry Tea, Large No Ice",c6408349d181b613bbc3a8c2,drink,none,220.0,0.0,0.0,0.0,57.0,55.0,0.0,125,0.0,,,,,2017-09-06
305,McDonald's,513fbc1283aa2dc80c000053,"Mr. Pibb Xtra, Medium",c6408349d5b3f01b16d0bc84,drink,soda,210.0,0.0,0.0,0.0,58.0,58.0,0.0,35,0.0,,,,,2017-09-06
306,McDonald's,513fbc1283aa2dc80c000053,"Diet Pepsi, Extra Small",c6408349d77d2f179f02ba8e,drink,soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,,,,,2017-09-06
