,calories,carbs,sugar,total_fat
0,600.0,90.0,7.6000000000000005,20.0
1,800.0,120.0,10.0,26.8
2,1000.0,150.0,12.4,33.2
3,1200.0,180.0,15.200000000000001,40.0
