,brand_name,entree,side,dessert,calories,total_fat,carbs,sugar,protein,saturated_fat,cholesterol,sodium,meal_type,tag
22,McDonald's,Egg McMuffin,,,300.0,12.0,30.0,3.0,18.0,6.0,245.0,730.0,entree_only,breakfast
24,McDonald's,Grilled Onion Cheddar Burger,,,310.0,13.0,32.0,6.0,15.0,6.0,45.0,640.0,entree_only,none
34,McDonald's,McDouble,,,380.0,18.0,34.0,7.0,23.0,8.0,70.0,840.0,entree_only,none
38,McDonald's,"Ranch Snack Wrap, Grilled",,,300.0,13.0,25.0,2.0,21.0,4.5,65.0,890.0,entree_only,none
45,McDonald's,"Premium McWrap Chicken & Ranch, Grilled",,,490.0,19.0,41.0,5.0,39.0,7.0,120.0,1510.0,entree_only,none
49,McDonald's,Buffalo Ranch McChicken,,,360.0,16.0,40.0,5.0,15.0,3.0,40.0,800.0,entree_only,none
66,McDonald's,Country Ham Biscuit,,,340.0,14.0,36.0,2.0,15.0,8.0,35.0,1600.0,entree_only,breakfast
67,McDonald's,Biscuit Chicken Sausage,,,350.0,17.0,36.0,2.0,13.0,8.0,50.0,1110.0,entree_only,breakfast
84,McDonald's,Pico Guacamole Grilled Chicken Sandwich on Potato Roll,,,470.0,17.0,40.0,6.0,38.0,5.0,115.0,1520.0,entree_only,none
125,McDonald's,Steak & Egg Burrito,,,350.0,15.0,38.0,3.0,16.0,6.0,115.0,950.0,entree_only,breakfast
132,McDonald's,Caesar McWrap With Artisan Grilled Chicken,,,470.0,18.0,40.0,5.0,38.0,5.0,110.0,1440.0,entree_only,none
138,McDonald's,Green Chili Double Cheeseburger,,,390.0,18.0,34.0,7.0,23.0,8.0,70.0,760.0,entree_only,none
174,McDonald's,Chicken McNuggets (6 piece),,,270.0,16.0,16.0,0.0,15.0,2.5,45.0,510.0,entree_only,none
229,McDonald's,Portuguese Sausage Side Order,,,220.0,19.0,2.0,1.0,10.0,7.0,50.0,570.0,entree_only,breakfast
235,McDonald's,Green Chili Double Cheeseburger New York,,,390.0,18.0,34.0,7.0,23.0,8.0,70.0,750.0,entree_only,none
261,McDonald's,Cheeseburger Bacon,,,360.0,16.0,34.0,7.0,21.0,7.0,55.0,920.0,entree_only,breakfast
273,McDonald's,Deluxe Artisan Grilled Chicken on Potato Roll,,,360.0,9.0,36.0,6.0,35.0,2.5,100.0,1140.0,entree_only,none
283,McDonald's,Chicken Sausage McMuffin,,,290.0,12.0,29.0,2.0,16.0,6.0,65.0,800.0,entree_only,breakfast
292,McDonald's,Deluxe Artisan Grilled Chicken on Sesame Seed Bun,,,360.0,9.0,36.0,7.0,35.0,2.5,100.0,1070.0,entree_only,none
353,McDonald's,Premium Bacon Ranch Salad with Grilled Chicken,,,190.0,12.0,9.0,3.0,14.0,5.0,40.0,500.0,entree_only,breakfast
354,McDonald's,Premium Southwest Salad with Buttermilk Crispy Chicken,,,160.0,7.0,19.0,4.0,8.0,3.0,15.0,200.0,entree_only,none
377,McDonald's,Buttermilk Crispy Chicken Tenders (2 piece),,,240.0,13.0,11.0,0.0,20.0,2.0,50.0,680.0,entree_only,none
399,McDonald's,Cheeseburger Bacon New York,,,360.0,16.0,34.0,7.0,20.0,7.0,55.0,920.0,entree_only,breakfast
491,McDonald's,Cheeseburger,,,300.0,12.0,33.0,7.0,15.0,5.0,40.0,680.0,entree_only,none
499,McDonald's,Hamburger,,,250.0,8.0,31.0,6.0,13.0,3.0,30.0,480.0,entree_only,none
507,McDonald's,McChicken,,,350.0,15.0,40.0,5.0,15.0,3.5,40.0,600.0,entree_only,none
510,McDonald's,Premium Bacon Ranch Salad without chicken,,,320.0,14.0,9.0,4.0,42.0,6.0,135.0,1230.0,entree_only,breakfast
512,McDonald's,Sausage Burrito,,,290.0,15.0,26.0,2.0,13.0,6.0,165.0,800.0,entree_only,breakfast
525,McDonald's,Pico Guacamole Artisan Grilled Chicken without Bun,,,300.0,15.0,8.0,2.0,32.0,4.5,115.0,1200.0,entree_only,none
536,McDonald's,Hamburger New York,,,250.0,8.0,31.0,6.0,13.0,3.0,30.0,470.0,entree_only,none
540,McDonald's,McChicken Deluxe,,,430.0,19.0,47.0,7.0,18.0,6.0,55.0,830.0,entree_only,none
541,McDonald's,Chorizo Burrito,,,310.0,15.0,28.0,3.0,16.0,6.0,175.0,820.0,entree_only,breakfast
556,McDonald's,Bagel With Cream Cheese,,,310.0,8.0,49.0,6.0,10.0,4.0,25.0,570.0,entree_only,breakfast
572,McDonald's,Bagel Plain,,,260.0,2.0,50.0,5.0,10.0,0.0,0.0,500.0,entree_only,breakfast
577,McDonald's,Bacon and White Cheddar Cheese McMuffin,,,350.0,16.0,30.0,3.0,20.0,7.0,255.0,770.0,entree_only,breakfast
613,McDonald's,Chicken McNuggets (4 piece),,,180.0,11.0,11.0,0.0,10.0,2.0,30.0,340.0,entree_only,none
716,McDonald's,Lobster Roll,,,290.0,5.0,35.0,3.0,24.0,1.5,65.0,630.0,entree_only,none
717,McDonald's,Cheeseburger New York,,,300.0,12.0,33.0,7.0,15.0,5.0,40.0,670.0,entree_only,none
728,McDonald's,Pico Guacamole Artisan Grilled Chicken on Sesame Seed Bun,,,470.0,18.0,40.0,7.0,38.0,5.0,115.0,1450.0,entree_only,none
734,McDonald's,Bacon Biscuit,,,340.0,17.0,36.0,3.0,10.0,9.0,20.0,1010.0,entree_only,breakfast
746,McDonald's,McChicken Hot 'N Spicy Patty,,,160.0,10.0,11.0,0.0,9.0,2.0,35.0,300.0,entree_only,none
5,Wendy's,Crispy Chicken Sandwich,,,330.0,16.0,33.0,4.0,14.0,3.0,30.0,600.0,entree_only,none
6,Wendy's,Grilled Chicken Wrap,,,270.0,10.0,24.0,3.0,20.0,3.5,55.0,640.0,entree_only,none
26,Wendy's,Artisan Egg Sandwich with Applewood Smoked Bacon,,,360.0,19.0,29.0,4.0,20.0,8.0,250.0,750.0,entree_only,breakfast
60,Wendy's,Kids' 4-Piece Chicken Nuggets,,,170.0,11.0,10.0,0.0,9.0,2.0,35.0,340.0,entree_only,none
62,Wendy's,Jr. Cheeseburger,,,280.0,13.0,25.0,5.0,16.0,6.0,50.0,740.0,entree_only,none
69,Wendy's,1/4 lb. Hamburger Patty,,,240.0,18.0,0.0,0.0,20.0,7.0,75.0,280.0,entree_only,none
70,Wendy's,Homestyle Chicken Breast,,,280.0,13.0,17.0,0.0,23.0,2.5,70.0,710.0,entree_only,none
74,Wendy's,Garden Side Salad with Ranch Dressing,,,260.0,18.0,19.0,4.0,7.0,4.5,20.0,460.0,entree_only,none
85,Wendy's,6-Piece Chicken Nuggets,,,250.0,16.0,14.0,0.0,13.0,3.5,50.0,510.0,entree_only,none
89,Wendy's,Kids' Grilled Chicken Wrap,,,270.0,10.0,24.0,3.0,20.0,3.5,55.0,640.0,entree_only,none
92,Wendy's,Kids' Hamburger,,,240.0,9.0,24.0,5.0,13.0,3.5,40.0,420.0,entree_only,none
95,Wendy's,3-Piece Chicken Tenders,,,300.0,14.0,20.0,0.0,22.0,2.5,70.0,920.0,entree_only,none
100,Wendy's,Jr. Cheeseburger Deluxe,,,330.0,19.0,27.0,6.0,16.0,7.0,55.0,740.0,entree_only,none
101,Wendy's,Homestyle Chicken Wrap,,,340.0,16.0,32.0,4.0,17.0,0.5,50.0,820.0,entree_only,none
105,Wendy's,Jr. Hamburger Patty,,,110.0,8.0,0.0,0.0,9.0,3.5,40.0,130.0,entree_only,none
106,Wendy's,Jr. Sandwich Bun,,,120.0,1.5,23.0,4.0,4.0,0.0,0.0,210.0,entree_only,none
107,Wendy's,Grilled Chicken Breast,,,130.0,2.0,0.0,0.0,29.0,0.5,90.0,370.0,entree_only,none
